Running trials for n = 600, p = 1000, m = 20
Cross validating alpha under noise level:  0.12
Trial:  7  Best params:  {'K': 25, 'N_bag': 75, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 0.6}  Lowest Error:  0.05543019853451858
Trial:  8  Best params:  {'K': 13, 'N_bag': 100, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.04649116706939504
Trial:  9  Best params:  {'K': 13, 'N_bag': 75, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.04530079870756319
Trial:  10  Best params:  {'K': 17, 'N_bag': 100, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.04091953593236698
Trial:  11  Best params:  {'K': 11, 'N_bag': 50, 'atom_bag_percent': 0.5, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.04259341459691875
Trial:  12  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1}  Lowest Error:  0.046937503485997734
Trial:  13  Best params:  {'K': 15, 'N_bag': 100, 'atom_bag_percent': 0.9, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.0459046726250288
Trial:  14  Best params:  {'K': 25, 'N_bag': 50, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 0.6}  Lowest Error:  0.049201946726119945
Trial:  15  Best params:  {'K': 15, 'N_bag': 10, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.04638052827589677
Trial:  16  Best params:  {'K': 15, 'N_bag': 75, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.04287797239304339
Trial:  17  Best params:  {'K': 7, 'N_bag': 10, 'atom_bag_percent': 1, 'replace_flag': True, 'signal_bag_percent': 1.4}  Lowest Error:  0.048695024331463825
Trial:  18  Best params:  {'K': 21, 'N_bag': 100, 'atom_bag_percent': 0.8, 'replace_flag': True, 'signal_bag_percent': 1.6}  Lowest Error:  0.04310921270582232
Trial:  19  Best params:  {'K': 27, 'N_bag': 10, 'atom_bag_percent': 0.6, 'replace_flag': True, 'signal_bag_percent': 1}  Lowest Error:  0.050619428420839795
Done!
Results are saved in:  ./memory/Jul7_Part220230707-211220.pkl
