Running trials for n = 600, p = 1000, m = 20
Cross validating alpha under noise level:  0.02
Trial:  9  Best params:  {'K': 17, 'N_bag': 100, 'atom_bag_percent': 0.9, 'signal_bag_percent': 1.6}  Lowest Error:  0.006780551994956477
Trial:  10  Best params:  {'K': 19, 'N_bag': 50, 'atom_bag_percent': 0.5, 'signal_bag_percent': 0.8}  Lowest Error:  0.006538942808772976
Trial:  11  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.7, 'signal_bag_percent': 1.6}  Lowest Error:  0.00662216492193114
Trial:  12  Best params:  {'K': 17, 'N_bag': 10, 'atom_bag_percent': 0.8, 'signal_bag_percent': 1}  Lowest Error:  0.007473016030374098
Trial:  13  Best params:  {'K': 17, 'N_bag': 10, 'atom_bag_percent': 0.6, 'signal_bag_percent': 1.6}  Lowest Error:  0.00687592189705695
Trial:  14  Best params:  {'K': 21, 'N_bag': 50, 'atom_bag_percent': 0.9, 'signal_bag_percent': 1.6}  Lowest Error:  0.007421961776279006
Trial:  15  Best params:  {'K': 21, 'N_bag': 25, 'atom_bag_percent': 0.9, 'signal_bag_percent': 1}  Lowest Error:  0.007045702614674037
Trial:  16  Best params:  {'K': 17, 'N_bag': 75, 'atom_bag_percent': 0.6, 'signal_bag_percent': 1.6}  Lowest Error:  0.006764733055908962
Trial:  17  Best params:  {'K': 17, 'N_bag': 100, 'atom_bag_percent': 0.7, 'signal_bag_percent': 1.4}  Lowest Error:  0.0075680684259041495
Trial:  18  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.7, 'signal_bag_percent': 1.6}  Lowest Error:  0.006405169860636127
Trial:  19  Best params:  {'K': 21, 'N_bag': 50, 'atom_bag_percent': 0.5, 'signal_bag_percent': 1}  Lowest Error:  0.008160374143884843
Noise level:  0.08  Avg Lowest MSE:  0.007078961012294419
Cross validating alpha under noise level:  0.1
Trial:  0  Best params:  {'K': 19, 'N_bag': 75, 'atom_bag_percent': 0.8, 'signal_bag_percent': 1.4}  Lowest Error:  0.011930856069537709
Trial:  1  Best params:  {'K': 15, 'N_bag': 100, 'atom_bag_percent': 0.6, 'signal_bag_percent': 1.4}  Lowest Error:  0.009841280653221415
Trial:  2  Best params:  {'K': 21, 'N_bag': 10, 'atom_bag_percent': 0.7, 'signal_bag_percent': 1.4}  Lowest Error:  0.01096190779668781
Trial:  3  Best params:  {'K': 21, 'N_bag': 100, 'atom_bag_percent': 0.9, 'signal_bag_percent': 1.6}  Lowest Error:  0.011296564531283096
Trial:  4  Best params:  {'K': 23, 'N_bag': 10, 'atom_bag_percent': 0.6, 'signal_bag_percent': 1.6}  Lowest Error:  0.01089920245061259
Trial:  5  Best params:  {'K': 15, 'N_bag': 25, 'atom_bag_percent': 0.7, 'signal_bag_percent': 0.8}  Lowest Error:  0.010488303233588752
Trial:  6  Best params:  {'K': 15, 'N_bag': 10, 'atom_bag_percent': 0.5, 'signal_bag_percent': 1.6}  Lowest Error:  0.011843886542622237
Trial:  7  Best params:  {'K': 21, 'N_bag': 100, 'atom_bag_percent': 0.8, 'signal_bag_percent': 1.6}  Lowest Error:  0.013315719289118066
Trial:  8  Best params:  {'K': 15, 'N_bag': 25, 'atom_bag_percent': 0.8, 'signal_bag_percent': 1.6}  Lowest Error:  0.010912326984081422
Trial:  9  Best params:  {'K': 17, 'N_bag': 75, 'atom_bag_percent': 0.7, 'signal_bag_percent': 1.6}  Lowest Error:  0.010671518139389507
Trial:  10  Best params:  {'K': 19, 'N_bag': 50, 'atom_bag_percent': 0.8, 'signal_bag_percent': 0.8}  Lowest Error:  0.010125325223476667
Trial:  11  Best params:  {'K': 17, 'N_bag': 25, 'atom_bag_percent': 0.9, 'signal_bag_percent': 1.6}  Lowest Error:  0.010479676827789275
Trial:  12  Best params:  {'K': 21, 'N_bag': 25, 'atom_bag_percent': 0.7, 'signal_bag_percent': 0.8}  Lowest Error:  0.011737516835759897
Trial:  13  Best params:  {'K': 15, 'N_bag': 10, 'atom_bag_percent': 1, 'signal_bag_percent': 1.6}  Lowest Error:  0.010815045395685948
Trial:  14  Best params:  {'K': 37, 'N_bag': 100, 'atom_bag_percent': 0.9, 'signal_bag_percent': 1.4}  Lowest Error:  0.011936121110305918
Trial:  15  Best params:  {'K': 23, 'N_bag': 25, 'atom_bag_percent': 1, 'signal_bag_percent': 1}  Lowest Error:  0.011111687817420694
Trial:  16  Best params:  {'K': 15, 'N_bag': 75, 'atom_bag_percent': 0.7, 'signal_bag_percent': 1.6}  Lowest Error:  0.010488629188074906
Trial:  17  Best params:  {'K': 17, 'N_bag': 100, 'atom_bag_percent': 0.6, 'signal_bag_percent': 1.6}  Lowest Error:  0.012011820459171001
Trial:  18  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.9, 'signal_bag_percent': 1.6}  Lowest Error:  0.009950536590620408
Trial:  19  Best params:  {'K': 19, 'N_bag': 25, 'atom_bag_percent': 0.5, 'signal_bag_percent': 1.6}  Lowest Error:  0.01263766534325642
Noise level:  0.1  Avg Lowest MSE:  0.011172779524085187
Done!
Results are saved in:  ./memory/bomp_1000_600_20_test5_replace20230707-201124.pkl
