Running trials for n = 600, p = 1000, m = 20
Cross validating alpha under noise level:  0.02
Trial:  16  Best params:  {'K': 21, 'N_bag': 25, 'atom_bag_percent': 0.9, 'signal_bag_percent': 0.7}  Lowest Error:  0.0038047914857687417
Trial:  17  Best params:  {'K': 15, 'N_bag': 50, 'atom_bag_percent': 1, 'signal_bag_percent': 1}  Lowest Error:  0.004240065173130219
Trial:  18  Best params:  {'K': 19, 'N_bag': 100, 'atom_bag_percent': 0.5, 'signal_bag_percent': 1}  Lowest Error:  0.0036372281147972613
Trial:  19  Best params:  {'K': 27, 'N_bag': 50, 'atom_bag_percent': 0.7, 'signal_bag_percent': 0.8}  Lowest Error:  0.004530678051127338
Noise level:  0.06  Avg Lowest MSE:  0.0039159538023126024
Cross validating alpha under noise level:  0.08
Trial:  0  Best params:  {'K': 15, 'N_bag': 75, 'atom_bag_percent': 0.7, 'signal_bag_percent': 1}  Lowest Error:  0.007525261498390767
Trial:  1  Best params:  {'K': 15, 'N_bag': 10, 'atom_bag_percent': 0.7, 'signal_bag_percent': 0.9}  Lowest Error:  0.0062256119279699524
Trial:  2  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 0.8, 'signal_bag_percent': 0.8}  Lowest Error:  0.006731566922575027
Trial:  3  Best params:  {'K': 19, 'N_bag': 75, 'atom_bag_percent': 0.6, 'signal_bag_percent': 0.8}  Lowest Error:  0.006862443832323912
Trial:  4  Best params:  {'K': 17, 'N_bag': 100, 'atom_bag_percent': 0.8, 'signal_bag_percent': 1}  Lowest Error:  0.006732616160489325
Trial:  5  Best params:  {'K': 15, 'N_bag': 75, 'atom_bag_percent': 0.5, 'signal_bag_percent': 0.9}  Lowest Error:  0.0068483893188831715
Trial:  6  Best params:  {'K': 15, 'N_bag': 75, 'atom_bag_percent': 0.6, 'signal_bag_percent': 1}  Lowest Error:  0.007256299839284981
Trial:  7  Best params:  {'K': 19, 'N_bag': 1, 'atom_bag_percent': 0.8, 'signal_bag_percent': 1}  Lowest Error:  0.00782486467493011
Trial:  8  Best params:  {'K': 15, 'N_bag': 10, 'atom_bag_percent': 0.7, 'signal_bag_percent': 0.7}  Lowest Error:  0.00690576008006537
Trial:  9  Best params:  {'K': 17, 'N_bag': 10, 'atom_bag_percent': 1, 'signal_bag_percent': 0.8}  Lowest Error:  0.006682013689983472
