Running trials for n = 600, p = 1000, m = 20
Cross validating alpha under noise level:  0.12
Trial:  6  Best params:  {'K': 9, 'N_bag': 10, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.04896564088019233
Trial:  7  Best params:  {'K': 13, 'N_bag': 100, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 0.6}  Lowest Error:  0.055943406259533625
Trial:  8  Best params:  {'K': 11, 'N_bag': 10, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.04570324744718359
Trial:  9  Best params:  {'K': 17, 'N_bag': 100, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.044954172241803765
Trial:  10  Best params:  {'K': 9, 'N_bag': 1, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.03946817682986551
Trial:  11  Best params:  {'K': 11, 'N_bag': 10, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.04241872826138736
Trial:  12  Best params:  {'K': 9, 'N_bag': 25, 'atom_bag_percent': 0.7, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.04744217257788327
Trial:  13  Best params:  {'K': 13, 'N_bag': 10, 'atom_bag_percent': 0.8, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.04493027874788462
Trial:  14  Best params:  {'K': 23, 'N_bag': 25, 'atom_bag_percent': 0.9, 'replace_flag': False, 'signal_bag_percent': 0.6}  Lowest Error:  0.05079946463375046
Trial:  15  Best params:  {'K': 11, 'N_bag': 100, 'atom_bag_percent': 0.8, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.04596276797159213
Trial:  16  Best params:  {'K': 11, 'N_bag': 100, 'atom_bag_percent': 0.8, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.0419435719696905
Trial:  17  Best params:  {'K': 7, 'N_bag': 100, 'atom_bag_percent': 0.7, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.04898393373838483
Trial:  18  Best params:  {'K': 19, 'N_bag': 10, 'atom_bag_percent': 0.5, 'replace_flag': False, 'signal_bag_percent': 1}  Lowest Error:  0.041564967653563475
Trial:  19  Best params:  {'K': 27, 'N_bag': 25, 'atom_bag_percent': 0.6, 'replace_flag': False, 'signal_bag_percent': 0.8}  Lowest Error:  0.050470513990872864
Noise level:  0.2  Avg Lowest MSE:  0.045825160568912185
Done!
Results are saved in:  ./memory/Jul9_Part120230710-013214.pkl
